edad,qx,aa2021,aa2022,aa2023,aa2024,aa2025,aa2026,aa2027,aa2028,aa2029,aa2030,aa2031,aa2032,aa2033,aa2034,aa2035,aa2036
90,0.11039188,0.012775,0.012576,0.012359,0.012127,0.011885,0.011639,0.011394,0.011153,0.010923,0.010707,0.010511,0.01034,0.010199,0.010092,0.010024,0.01
91,0.12230132,0.011923,0.011738,0.011535,0.011318,0.011093,0.010863,0.010634,0.01041,0.010194,0.009993,0.009811,0.009651,0.009519,0.009419,0.009355,0.009333
92,0.13425695,0.011071,0.010899,0.010711,0.01051,0.010301,0.010087,0.009874,0.009666,0.009466,0.009279,0.00911,0.008962,0.008839,0.008746,0.008687,0.008667
93,0.14738206,0.01022,0.010061,0.009887,0.009701,0.009508,0.009311,0.009115,0.008922,0.008738,0.008566,0.008409,0.008272,0.008159,0.008073,0.008019,0.008
94,0.16170942,0.009368,0.009223,0.009063,0.008893,0.008716,0.008535,0.008355,0.008179,0.00801,0.007852,0.007708,0.007583,0.007479,0.0074,0.007351,0.007333
95,0.17725328,0.008516,0.008384,0.008239,0.008084,0.007923,0.007759,0.007596,0.007435,0.007282,0.007138,0.007008,0.006893,0.006799,0.006728,0.006682,0.006667
96,0.194004,0.007665,0.007546,0.007415,0.007276,0.007131,0.006984,0.006836,0.006692,0.006554,0.006424,0.006307,0.006204,0.006119,0.006055,0.006014,0.006
97,0.21192453,0.006813,0.006707,0.006591,0.006468,0.006339,0.006208,0.006077,0.005948,0.005825,0.00571,0.005606,0.005515,0.005439,0.005382,0.005346,0.005333
98,0.23094842,0.005962,0.005869,0.005767,0.005659,0.005546,0.005432,0.005317,0.005205,0.005097,0.004997,0.004905,0.004825,0.004759,0.004709,0.004678,0.004667
99,0.25097856,0.00511,0.00503,0.004943,0.004851,0.004754,0.004656,0.004557,0.004461,0.004369,0.004283,0.004205,0.004136,0.004079,0.004037,0.004009,0.004
100,0.27188653,0.004258,0.004192,0.00412,0.004042,0.003962,0.00388,0.003798,0.003718,0.003641,0.003569,0.003504,0.003447,0.0034,0.003364,0.003341,0.003333
101,0.29351431,0.003407,0.003354,0.003296,0.003234,0.003169,0.003104,0.003038,0.002974,0.002913,0.002855,0.002803,0.002757,0.00272,0.002691,0.002673,0.002667
102,0.31568087,0.002555,0.002515,0.002472,0.002425,0.002377,0.002328,0.002279,0.002231,0.002185,0.002141,0.002102,0.002068,0.00204,0.002018,0.002005,0.002
103,0.33818518,0.001703,0.001677,0.001648,0.001617,0.001585,0.001552,0.001519,0.001487,0.001456,0.001428,0.001402,0.001379,0.00136,0.001346,0.001336,0.001333
104,0.36081707,0.000852,0.000838,0.000824,0.000808,0.000792,0.000776,0.00076,0.000744,0.000728,0.000714,0.000701,0.000689,0.00068,0.000673,0.000668,0.000667
105,0.3833603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.40419081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.42438612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.44378124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.46223956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
